"Metric #","Data Point Name","Extracted Value","Last Updated"
"1","Total Patients Served","43418","2026-08-07T12:10:37Z"
"2","Total Teleconsultations","59674","2026-08-07T12:10:37Z"
"3","Total Health Camps","5","2026-08-07T12:10:37Z"
"4","Total Doctors Enrolled","125","2026-08-07T12:10:37Z"
"5","Total Volunteers Registered","0","2026-08-07T12:10:37Z"
"6","Partner Hospitals Count","0","2026-08-07T12:10:37Z"
"7","Patients Growth (Latest Year)","27708","2026-08-07T12:10:37Z"
"8","Teleconsultation Growth (Latest Year)","38685","2026-08-07T12:10:37Z"
"9","Health Camps (Latest Year)","5","2026-08-07T12:10:37Z"
"10","Top Department","General Medicine (16,173)","2026-08-07T12:10:37Z"
"11","Top Diagnosed Condition","Urti (2,618)","2026-08-07T12:10:37Z"
"12","Top Doctor Specialty","General Physician (21)","2026-08-07T12:10:37Z"
"13","Dominant Age Group","36-60 (33%)","2026-08-07T12:10:37Z"
"14","New vs Follow-up Ratio","26% New / 5% Follow-up","2026-08-07T12:10:37Z"
"15","Gender Distribution","58% Female / 42% Male","2026-08-07T12:10:37Z"
"16","Geographic Reach","60 Districts / [{'label': 'Borgaon Road S.O', 'count': 1296}, {'label': 'Nagpur', 'count': 862}, {'label': 'Bagadganj S.O', 'count': 517}, {'label': 'Narsala', 'count': 439}, {'label': 'Peth', 'count': 349}, {'label': 'Rajgurunagar S.O', 'count': 310}, {'label': 'Chinchbhavan', 'count': 200}, {'label': 'Mahuli So', 'count': 187}, {'label': 'Khed', 'count': 157}, {'label': 'Congress Nagar S.O (Nagpur)', 'count': 152}, {'label': 'Khalapur S.O', 'count': 150}, {'label': 'Gadaila', 'count': 111}, {'label': 'Khodale B.O', 'count': 105}, {'label': 'Nagpur City H.O', 'count': 99}, {'label': 'Karanjawane B.O', 'count': 96}, {'label': 'Wathoda', 'count': 88}, {'label': 'Rampur', 'count': 76}, {'label': 'Doolampur', 'count': 74}, {'label': 'Rajgurunagar', 'count': 64}, {'label': 'Ajrelpur', 'count': 57}, {'label': 'Bangali Panja', 'count': 57}, {'label': 'Gorewada', 'count': 55}, {'label': 'Wangani B.O', 'count': 49}, {'label': 'Ambavane B.O', 'count': 46}, {'label': 'Bhitukar', 'count': 46}, {'label': 'Ashraf Pur Bo', 'count': 44}, {'label': 'Halupur', 'count': 42}, {'label': 'Jamira', 'count': 41}, {'label': 'Muspipari', 'count': 41}, {'label': 'Adawali', 'count': 37}, {'label': 'Peth S.O (Pune)', 'count': 36}, {'label': 'Sukrauli', 'count': 35}, {'label': 'Tanda Peth', 'count': 31}, {'label': 'Auradand Bo', 'count': 30}, {'label': 'Belhara', 'count': 30}, {'label': 'Hanumant Pur', 'count': 30}, {'label': 'Narsala Gaon', 'count': 30}, {'label': 'Mhalginagar S.O', 'count': 29}, {'label': 'Durjanpur', 'count': 28}, {'label': 'Nandanwan', 'count': 28}, {'label': 'Shantinagarpar', 'count': 27}, {'label': 'Gadrahiya', 'count': 26}, {'label': 'Margasni B.O', 'count': 26}, {'label': 'Raypur', 'count': 26}, {'label': 'New Narsala', 'count': 25}, {'label': 'Bahadura S.O', 'count': 23}, {'label': 'Netwa Pur', 'count': 23}, {'label': 'Hansapurva', 'count': 22}, {'label': 'Jagnath Budhwari', 'count': 22}, {'label': 'Pindia Bazar Bo', 'count': 21}, {'label': 'Ladpura', 'count': 20}, {'label': 'Shivangaon Punrwasan', 'count': 20}, {'label': 'Bhikhari Pur', 'count': 19}, {'label': 'Jayram Patti', 'count': 19}, {'label': 'Mangadari', 'count': 19}, {'label': 'Saypur', 'count': 19}, {'label': 'Beraha', 'count': 18}, {'label': 'Velha', 'count': 18}, {'label': 'Dughra Urf Khaira', 'count': 17}, {'label': 'Shivangaon', 'count': 17}] Villages","2026-08-07T12:10:37Z"
